true label       probabilities        predicted label
4.0       0.9973551034927368       4
3.0       0.9989607334136963       3
3.0       0.9999740123748779       3
0.0       0.7161159515380859       1
3.0       0.9999834299087524       3
3.0       0.9999406337738037       3
3.0       0.9991876482963562       3
3.0       0.999997615814209       3
3.0       0.9962348341941833       3
3.0       0.7908821105957031       3
3.0       0.9998595714569092       3
3.0       0.999956488609314       3
4.0       0.999937891960144       4
4.0       0.9999549388885498       4
4.0       0.9983769655227661       4
4.0       0.9998524188995361       4
4.0       0.9997331500053406       4
3.0       0.9999611377716064       3
4.0       0.9999982118606567       4
4.0       0.9999890327453613       4
3.0       0.9996490478515625       3
0.0       0.6749501824378967       1
3.0       0.9275423884391785       3
4.0       0.9421561360359192       4
0.0       0.5107860565185547       1
3.0       0.9999126195907593       3
3.0       0.9999847412109375       3
1.0       0.7880955934524536       1
3.0       0.9999493360519409       3
3.0       0.9996217489242554       3
4.0       0.9997919201850891       4
3.0       0.9988467693328857       3
0.0       0.7095916271209717       0
3.0       0.9999784231185913       3
4.0       0.994816243648529       4
4.0       0.9999970197677612       4
3.0       0.9997219443321228       3
3.0       0.9890940189361572       3
4.0       0.9998038411140442       4
3.0       0.9995595812797546       3
3.0       0.9998281002044678       3
3.0       0.9995265007019043       3
4.0       0.9996103644371033       4
4.0       0.9435067176818848       3
3.0       0.7917601466178894       3
3.0       0.9986055493354797       3
3.0       0.9999738931655884       3
4.0       0.9520165324211121       4
3.0       0.9999772310256958       3
3.0       0.9996060729026794       3
3.0       0.9998230338096619       3
3.0       0.9999303817749023       3
4.0       0.9993252754211426       4
3.0       0.999893069267273       3
4.0       0.8781071901321411       4
4.0       0.9999496936798096       4
3.0       0.9999039173126221       3
3.0       0.9999257326126099       3
3.0       0.664826512336731       4
3.0       0.9996121525764465       3
4.0       0.9999904632568359       4
4.0       0.9994794726371765       4
4.0       0.999967098236084       4
3.0       0.9943287968635559       3
3.0       0.9998950958251953       3
3.0       0.9999740123748779       3
0.0       0.9101436138153076       0
4.0       0.9999955892562866       4
0.0       0.8665371537208557       1
3.0       0.9704257845878601       3
4.0       0.9994428753852844       4
3.0       0.999953031539917       3
3.0       0.9592470526695251       3
3.0       0.9999643564224243       3
3.0       0.999980092048645       3
4.0       0.9994698166847229       4
3.0       0.9998376369476318       3
3.0       0.9995434880256653       3
3.0       0.9937399625778198       3
3.0       0.9999626874923706       3
3.0       0.9971185922622681       3
3.0       0.9999107122421265       3
4.0       0.9999704360961914       4
3.0       0.9987428784370422       3
4.0       0.9999935626983643       4
3.0       0.8421922326087952       0
3.0       0.9985325336456299       3
4.0       0.999951958656311       4
4.0       0.9999452829360962       4
4.0       0.9853041768074036       4
3.0       0.9585994482040405       3
3.0       0.9930559992790222       3
0.0       0.5201641321182251       0
3.0       0.9998013377189636       3
3.0       0.9677460789680481       3
3.0       0.9999097585678101       3
4.0       0.999305009841919       4
3.0       0.9996472597122192       3
3.0       0.9999911785125732       3
4.0       0.9926691055297852       4
3.0       0.9995918869972229       3
3.0       0.9995237588882446       3
4.0       0.9998645782470703       4
3.0       0.9994266033172607       3
3.0       0.9996639490127563       3
4.0       0.6257452964782715       3
3.0       0.9998286962509155       3
4.0       0.9946363568305969       4
3.0       0.9998941421508789       3
3.0       0.9999629259109497       3
3.0       0.9999356269836426       3
4.0       0.99993896484375       4
4.0       0.9998071789741516       4
3.0       0.9998606443405151       3
4.0       0.9998741149902344       4
3.0       0.9999731779098511       3
3.0       0.9997784495353699       3
3.0       0.9997451901435852       3
4.0       0.9999499320983887       4
3.0       0.9991008043289185       3
4.0       0.9995788931846619       4
3.0       0.9882178902626038       3
3.0       0.9999229907989502       3
0.0       0.769429087638855       0
3.0       0.9995532631874084       3
3.0       0.9999353885650635       3
3.0       0.9999680519104004       3
3.0       0.9999849796295166       3
3.0       0.9991668462753296       3
3.0       0.9999899864196777       3
3.0       0.9757441282272339       3
4.0       0.9999032020568848       4
4.0       0.8863845467567444       4
3.0       0.9998464584350586       3
4.0       0.9999964237213135       4
3.0       0.9883747100830078       3
1.0       0.9592537879943848       1
4.0       0.9998917579650879       4
3.0       0.999985933303833       3
3.0       0.9999281167984009       3
4.0       0.9999936819076538       4
4.0       0.9319625496864319       4
3.0       0.9996405839920044       3
3.0       0.9999076128005981       3
4.0       0.9995884299278259       4
3.0       0.9999852180480957       3
3.0       0.9997020363807678       3
3.0       0.999922513961792       3
4.0       0.9999442100524902       4
3.0       0.9992440938949585       3
3.0       0.9835630059242249       3
4.0       0.9807290434837341       4
3.0       0.9998337030410767       3
4.0       0.8358848690986633       4
4.0       0.7776261568069458       1
4.0       0.999738872051239       4
3.0       0.9998205304145813       3
3.0       0.99998939037323       3
4.0       0.7718366384506226       4
4.0       0.9999513626098633       4
3.0       0.9998674392700195       3
3.0       0.9991521835327148       3
3.0       0.9996047616004944       3
4.0       0.9999613761901855       4
4.0       0.9999138116836548       4
3.0       0.9996304512023926       3
3.0       0.9991544485092163       3
3.0       0.8960672616958618       3
3.0       0.9979075193405151       3
4.0       0.999859094619751       4
3.0       0.9996753931045532       3
3.0       0.9999239444732666       3
3.0       0.999894380569458       3
3.0       0.999982476234436       3
4.0       0.9955374002456665       4
4.0       0.9991699457168579       4
4.0       0.9999293088912964       4
4.0       0.99997878074646       4
3.0       0.9996458292007446       3
4.0       0.9994733929634094       4
4.0       0.9534838795661926       4
4.0       0.9999847412109375       4
4.0       0.9319920539855957       4
1.0       0.5508014559745789       1
4.0       0.9997034668922424       4
4.0       0.9997262358665466       4
3.0       0.999733030796051       3
3.0       0.9999434947967529       3
3.0       0.4914294183254242       3
4.0       0.9999494552612305       4
0.0       0.8406652212142944       0
4.0       0.9010482430458069       4
4.0       0.9984642267227173       4
4.0       0.9999563694000244       4
