true label       probabilities        predicted label
0.0       0.9179807305335999       3
0.0       0.6715213656425476       3
0.0       0.9800926446914673       3
0.0       0.8430781960487366       3
0.0       0.897394061088562       3
0.0       0.4842764735221863       3
0.0       0.8521156311035156       3
0.0       0.7861583232879639       3
0.0       0.4727005362510681       3
0.0       0.8013583421707153       3
0.0       0.5272200703620911       3
0.0       0.5460004806518555       4
0.0       0.47504162788391113       3
0.0       0.5488529205322266       3
0.0       0.8098583817481995       3
0.0       0.6819534301757812       3
0.0       0.6801717281341553       3
0.0       0.5106996297836304       4
0.0       0.5897435545921326       3
0.0       0.904939591884613       3
0.0       0.4867634177207947       3
0.0       0.8766844868659973       3
0.0       0.8590369820594788       3
0.0       0.9445503354072571       3
0.0       0.9229248762130737       3
0.0       0.44864851236343384       3
0.0       0.5096840858459473       3
0.0       0.7110522985458374       3
0.0       0.46569186449050903       4
0.0       0.9069834351539612       3
0.0       0.7501224279403687       3
0.0       0.4258718490600586       3
0.0       0.6510875225067139       3
0.0       0.8671926856040955       3
0.0       0.5914160013198853       3
0.0       0.4361264109611511       3
0.0       0.4217485785484314       3
